cAzimuth,cElevation,time
-90.0,20.0,2592.0
-50.0,20.0,2596.0
-10.0,20.0,2600.0
30.0,20.0,2604.0
70.0,20.0,2608.0
90.0,20.0,2612.0
50.0,20.0,2616.0
10.0,20.0,2620.0
-30.0,20.0,2624.0
-70.0,20.0,2628.0
-90.0,20.0,2632.0
-50.0,20.0,2636.0
-10.0,20.0,2640.0
30.0,20.0,2644.0
70.0,20.0,2648.0
90.0,20.0,2652.0
50.0,20.0,2656.0
10.0,20.0,2660.0
-30.0,20.0,2664.0
-70.0,20.0,2668.0
-90.0,20.0,2672.0
-50.0,20.0,2676.0
-10.0,20.0,2680.0
30.0,20.0,2684.0
70.0,20.0,2688.0
90.0,20.0,2692.0
50.0,20.0,2696.0
10.0,20.0,2700.0
-30.0,20.0,2704.0
-70.0,20.0,2708.0
-90.0,20.0,2712.0
-50.0,20.0,2716.0
-10.0,20.0,2720.0
30.0,20.0,2724.0
70.0,20.0,2728.0
90.0,20.0,2732.0
50.0,20.0,2736.0
10.0,20.0,2740.0
-30.0,20.0,2744.0
-70.0,20.0,2748.0
-90.0,20.0,2752.0
-50.0,20.0,2756.0
-10.0,20.0,2760.0
30.0,20.0,2764.0
70.0,20.0,2768.0
90.0,20.0,2772.0
50.0,20.0,2776.0
10.0,20.0,2780.0
-30.0,20.0,2784.0
-70.0,20.0,2788.0
-90.0,20.0,2792.0
-50.0,20.0,2796.0
-10.0,20.0,2800.0
30.0,20.0,2804.0
70.0,20.0,2808.0
90.0,20.0,2812.0
50.0,20.0,2816.0
10.0,20.0,2820.0
-30.0,20.0,2824.0
-70.0,20.0,2828.0
-90.0,20.0,2832.0
-50.0,20.0,2836.0
-10.0,20.0,2840.0
30.0,20.0,2844.0
70.0,20.0,2848.0
90.0,20.0,2852.0
50.0,20.0,2856.0
10.0,20.0,2860.0
-30.0,20.0,2864.0
-70.0,20.0,2868.0
-90.0,20.0,2872.0
-50.0,20.0,2876.0
-10.0,20.0,2880.0
30.0,20.0,2884.0
70.0,20.0,2888.0
90.0,20.0,2892.0
50.0,20.0,2896.0
10.0,20.0,2900.0
-30.0,20.0,2904.0
-70.0,20.0,2908.0
-90.0,20.0,2912.0
-50.0,20.0,2916.0
-10.0,20.0,2920.0
30.0,20.0,2924.0
70.0,20.0,2928.0
90.0,20.0,2932.0
50.0,20.0,2936.0
10.0,20.0,2940.0
-30.0,20.0,2944.0
-70.0,20.0,2948.0
-90.0,20.0,2952.0
-50.0,20.0,2956.0
-10.0,20.0,2960.0
30.0,20.0,2964.0
70.0,20.0,2968.0
90.0,20.0,2972.0
50.0,20.0,2976.0
10.0,20.0,2980.0
-30.0,20.0,2984.0
-70.0,20.0,2988.0
-90.0,20.0,2992.0
-50.0,20.0,2996.0
-10.0,20.0,3000.0
30.0,20.0,3004.0
70.0,20.0,3008.0
90.0,20.0,3012.0
50.0,20.0,3016.0
10.0,20.0,3020.0
-30.0,20.0,3024.0
-70.0,20.0,3028.0
-90.0,20.0,3032.0
-50.0,20.0,3036.0
-10.0,20.0,3040.0
30.0,20.0,3044.0
70.0,20.0,3048.0
90.0,20.0,3052.0
50.0,20.0,3056.0
10.0,20.0,3060.0
-30.0,20.0,3064.0
-70.0,20.0,3068.0
-90.0,20.0,3072.0
-50.0,20.0,3076.0
-10.0,20.0,3080.0
30.0,20.0,3084.0
70.0,20.0,3088.0
90.0,20.0,3092.0
50.0,20.0,3096.0
10.0,20.0,3100.0
-30.0,20.0,3104.0
-70.0,20.0,3108.0
-90.0,20.0,3112.0
-50.0,20.0,3116.0
-10.0,20.0,3120.0
30.0,20.0,3124.0
70.0,20.0,3128.0
90.0,20.0,3132.0
50.0,20.0,3136.0
10.0,20.0,3140.0
-30.0,20.0,3144.0
-70.0,20.0,3148.0
-90.0,20.0,3152.0
-50.0,20.0,3156.0
-10.0,20.0,3160.0
30.0,20.0,3164.0
70.0,20.0,3168.0
90.0,20.0,3172.0
50.0,20.0,3176.0
10.0,20.0,3180.0
-30.0,20.0,3184.0
-70.0,20.0,3188.0
-90.0,20.0,3192.0
-50.0,20.0,3196.0
-10.0,20.0,3200.0
30.0,20.0,3204.0
70.0,20.0,3208.0
90.0,20.0,3212.0
50.0,20.0,3216.0
10.0,20.0,3220.0
-30.0,20.0,3224.0
-70.0,20.0,3228.0
-90.0,20.0,3232.0
-50.0,20.0,3236.0
-10.0,20.0,3240.0
30.0,20.0,3244.0
70.0,20.0,3248.0
90.0,20.0,3252.0
50.0,20.0,3256.0
10.0,20.0,3260.0
-30.0,20.0,3264.0
-70.0,20.0,3268.0
-90.0,20.0,3272.0
-50.0,20.0,3276.0
-10.0,20.0,3280.0
30.0,20.0,3284.0
70.0,20.0,3288.0
90.0,20.0,3292.0
50.0,20.0,3296.0
10.0,20.0,3300.0
-30.0,20.0,3304.0
-70.0,20.0,3308.0
-90.0,20.0,3312.0
-50.0,20.0,3316.0
-10.0,20.0,3320.0
30.0,20.0,3324.0
70.0,20.0,3328.0
90.0,20.0,3332.0
50.0,20.0,3336.0
10.0,20.0,3340.0
-30.0,20.0,3344.0
-70.0,20.0,3348.0
-90.0,20.0,3352.0
-50.0,20.0,3356.0
-10.0,20.0,3360.0
30.0,20.0,3364.0
70.0,20.0,3368.0
90.0,20.0,3372.0
50.0,20.0,3376.0
10.0,20.0,3380.0
-30.0,20.0,3384.0
-70.0,20.0,3388.0
-90.0,20.0,3392.0
-50.0,20.0,3396.0
-10.0,20.0,3400.0
30.0,20.0,3404.0
70.0,20.0,3408.0
90.0,20.0,3412.0
50.0,20.0,3416.0
10.0,20.0,3420.0
-30.0,20.0,3424.0
-70.0,20.0,3428.0
-90.0,20.0,3432.0
-50.0,20.0,3436.0
-10.0,20.0,3440.0
30.0,20.0,3444.0
70.0,20.0,3448.0
90.0,20.0,3452.0
50.0,20.0,3456.0
10.0,20.0,3460.0
-30.0,20.0,3464.0
-70.0,20.0,3468.0
-90.0,20.0,3472.0
-50.0,20.0,3476.0
-10.0,20.0,3480.0
30.0,20.0,3484.0
70.0,20.0,3488.0
90.0,20.0,3492.0
50.0,20.0,3496.0
10.0,20.0,3500.0
-30.0,20.0,3504.0
-70.0,20.0,3508.0
-90.0,20.0,3512.0
-50.0,20.0,3516.0
-10.0,20.0,3520.0
30.0,20.0,3524.0
70.0,20.0,3528.0
90.0,20.0,3532.0
50.0,20.0,3536.0
10.0,20.0,3540.0
-30.0,20.0,3544.0
-70.0,20.0,3548.0
-90.0,20.0,3552.0
-50.0,20.0,3556.0
-10.0,20.0,3560.0
30.0,20.0,3564.0
70.0,20.0,3568.0
90.0,20.0,3572.0
50.0,20.0,3576.0
10.0,20.0,3580.0
-30.0,20.0,3584.0
-70.0,20.0,3588.0
-90.0,20.0,3592.0
-50.0,20.0,3596.0
-10.0,20.0,3600.0
30.0,20.0,3604.0
70.0,20.0,3608.0
90.0,20.0,3612.0
50.0,20.0,3616.0
10.0,20.0,3620.0
-30.0,20.0,3624.0
-70.0,20.0,3628.0
-90.0,20.0,3632.0
-50.0,20.0,3636.0
-10.0,20.0,3640.0
30.0,20.0,3644.0
70.0,20.0,3648.0
90.0,20.0,3652.0
50.0,20.0,3656.0
10.0,20.0,3660.0
-30.0,20.0,3664.0
-70.0,20.0,3668.0
-90.0,20.0,3672.0
-50.0,20.0,3676.0
-10.0,20.0,3680.0
30.0,20.0,3684.0
70.0,20.0,3688.0
90.0,20.0,3692.0
50.0,20.0,3696.0
10.0,20.0,3700.0
-30.0,20.0,3704.0
-70.0,20.0,3708.0
-90.0,20.0,3712.0
-50.0,20.0,3716.0
-10.0,20.0,3720.0
30.0,20.0,3724.0
70.0,20.0,3728.0
90.0,20.0,3732.0
50.0,20.0,3736.0
10.0,20.0,3740.0
-30.0,20.0,3744.0
-70.0,20.0,3748.0
-90.0,20.0,3752.0
-50.0,20.0,3756.0
-10.0,20.0,3760.0
30.0,20.0,3764.0
70.0,20.0,3768.0
90.0,20.0,3772.0
50.0,20.0,3776.0
10.0,20.0,3780.0
-30.0,20.0,3784.0
-70.0,20.0,3788.0
-90.0,20.0,3792.0
-50.0,20.0,3796.0
-10.0,20.0,3800.0
30.0,20.0,3804.0
70.0,20.0,3808.0
90.0,20.0,3812.0
50.0,20.0,3816.0
10.0,20.0,3820.0
-30.0,20.0,3824.0
-70.0,20.0,3828.0
-90.0,20.0,3832.0
-50.0,20.0,3836.0
-10.0,20.0,3840.0
30.0,20.0,3844.0
70.0,20.0,3848.0
90.0,20.0,3852.0
50.0,20.0,3856.0
10.0,20.0,3860.0
-30.0,20.0,3864.0
-70.0,20.0,3868.0
-90.0,20.0,3872.0
-50.0,20.0,3876.0
-10.0,20.0,3880.0
30.0,20.0,3884.0
70.0,20.0,3888.0
90.0,20.0,3892.0
50.0,20.0,3896.0
10.0,20.0,3900.0
-30.0,20.0,3904.0
-70.0,20.0,3908.0
-90.0,20.0,3912.0
-50.0,20.0,3916.0
-10.0,20.0,3920.0
30.0,20.0,3924.0
70.0,20.0,3928.0
90.0,20.0,3932.0
50.0,20.0,3936.0
10.0,20.0,3940.0
-30.0,20.0,3944.0
-70.0,20.0,3948.0
-90.0,20.0,3952.0
-50.0,20.0,3956.0
-10.0,20.0,3960.0
30.0,20.0,3964.0
70.0,20.0,3968.0
90.0,20.0,3972.0
