cAzimuth,cElevation,time
-30.0,70.0,2990.0
-60.0,70.0,2992.0
-90.0,70.0,2994.0
-60.0,70.0,2996.0
-30.0,70.0,2998.0
0.0,70.0,3000.0
30.0,70.0,3002.0
60.0,70.0,3004.0
90.0,70.0,3006.0
60.0,70.0,3008.0
30.0,70.0,3010.0
0.0,70.0,3012.0
-30.0,70.0,3014.0
-60.0,70.0,3016.0
-90.0,70.0,3018.0
-60.0,70.0,3020.0
-30.0,70.0,3022.0
0.0,70.0,3024.0
30.0,70.0,3026.0
60.0,70.0,3028.0
90.0,70.0,3030.0
60.0,70.0,3032.0
30.0,70.0,3034.0
0.0,70.0,3036.0
-30.0,70.0,3038.0
-60.0,70.0,3040.0
-90.0,70.0,3042.0
-60.0,70.0,3044.0
-30.0,70.0,3046.0
0.0,70.0,3048.0
30.0,70.0,3050.0
60.0,70.0,3052.0
90.0,70.0,3054.0
60.0,70.0,3056.0
30.0,70.0,3058.0
0.0,70.0,3060.0
-30.0,70.0,3062.0
-60.0,70.0,3064.0
-90.0,70.0,3066.0
-60.0,70.0,3068.0
-30.0,70.0,3070.0
0.0,70.0,3072.0
30.0,70.0,3074.0
